hsa-let-7b-3p,CYP11B2
hsa-miR-556-5p,SDC4
hsa-miR-198,CASP2
hsa-miR-499a-5p,PSIP1
hsa-miR-199a-3p,H19
hsa-miR-325,TUSC2
hsa-miR-508-5p,TRAPPC2B
hsa-miR-216b-3p,CCBE1
hsa-miR-1908-5p,GAP43
hsa-miR-494-5p,NT5E
hsa-miR-302b-3p,LGMN
hsa-miR-433-5p,MTA2
hsa-miR-1908-3p,DPYSL2
hsa-miR-5094,GSDMD
hsa-miR-103a-2-5p,XPO1
hsa-miR-502-5p,PRMT1
hsa-miR-153-3p,PRKAA1
hsa-miR-450a-1-3p,PIM1
hsa-miR-570-5p,DVL2
hsa-miR-1185-2-3p,USP26
hsa-miR-16-5p,JAK1
hsa-miR-208b-3p,PMEPA1
hsa-miR-103b,CYP2U1
hsa-miR-92b-3p,ZNF611
hsa-miR-153-5p,RXRA
hsa-miR-942-5p,MMP3
hsa-miR-564,PHF10
hsa-miR-425-3p,MCAM
hsa-miR-508-3p,ATG12
hsa-miR-548i,CLU
hsa-miR-302a-5p,CA12
hsa-miR-1224-3p,GPX2
hsa-miR-7844-5p,POR
hsa-miR-1307-5p,HCP5
hsa-miR-191-5p,WASF2
hsa-miR-24-3p,TBX19
hsa-miR-574-3p,KRT8
hsa-miR-1253,IL25
hsa-miR-24-3p,CDC14A
hsa-miR-590-5p,BIK
hsa-miR-125b-5p,HAL
hsa-let-7a-5p,MAP3K14
hsa-miR-377-3p,HDAC8
hsa-miR-708-3p,RGS16
hsa-miR-1915-3p,SREBF1
hsa-miR-1228-5p,NOTCH3
hsa-miR-517c-3p,TNFSF13B
hsa-miR-28-5p,STX1A
hsa-miR-133a-5p,FAM135A
hsa-miR-591,COPB2
hsa-miR-6165,MAN1B1
hsa-miR-548a-3p,NPEPL1
hsa-miR-363-3p,LGR4
hsa-miR-3127-3p,TERF1
hsa-miR-519e-5p,HNRNPC
hsa-miR-211-3p,NFKBIA
hsa-let-7i-5p,DNM1L
hsa-miR-155-3p,SLC7A5
hsa-let-7c-5p,MAP1LC3B
hsa-miR-202-5p,ZNF763
hsa-miR-22-3p,DHRS3
hsa-miR-558,CYP19A1
hsa-miR-4775,GATA6
hsa-miR-146b-5p,TREM2
hsa-miR-187-5p,KLK4
hsa-miR-1289,CEBPD
hsa-miR-126-3p,LPL
hsa-miR-639,STAT1
hsa-miR-140-3p,PTMS
hsa-miR-216b-5p,ELF5
hsa-miR-126-3p,SFRP4
hsa-miR-1908-3p,SIRT1
hsa-miR-888-5p,KDM3A
hsa-miR-24-3p,LGALS3BP
hsa-miR-512-5p,WNT2
hsa-miR-182-5p,DCST1-AS1
hsa-miR-6869-5p,LINC00473
hsa-miR-376a-5p,KIF2A
hsa-miR-603,VSNL1
hsa-miR-363-5p,LINC01089
hsa-miR-4437,VPS18
hsa-miR-466,GPS1
hsa-miR-1289,PIK3C3
hsa-miR-3189-3p,A1BG
hsa-miR-520h,ERP29
hsa-miR-301a-5p,NUP214
hsa-miR-381-3p,MEST
hsa-miR-18a-3p,RASSF5
hsa-miR-184,ELAVL1
hsa-miR-19a-3p,CERS2
hsa-miR-30c-5p,FCGR2B
hsa-miR-513a-3p,ICAM1
hsa-miR-301b-3p,ALX1
hsa-miR-3613-3p,SRGAP2
hsa-miR-541-3p,KLHL11
hsa-miR-449c-5p,KDM5B
hsa-miR-1292-5p,FLNA
hsa-miR-4497,PHF14
hsa-miR-525-3p,ID2
hsa-miR-365a-3p,HNRNPC
hsa-miR-1247-5p,ACVR1B
hsa-miR-34a-3p,GNG13
hsa-miR-662,ATG4C
hsa-miR-1252-3p,CEBPD
hsa-miR-551b-3p,KDM5C
hsa-miR-132-3p,DAPK1
hsa-let-7f-5p,JAZF1
hsa-miR-187-5p,LIF
hsa-miR-197-3p,MAFB
hsa-miR-4638-5p,ARHGAP5
hsa-miR-1250-3p,OIP5
hsa-miR-1471,SLC39A8
hsa-miR-1258,MSX2
hsa-miR-27a-3p,HDAC1
hsa-miR-222-3p,CLTC
hsa-miR-3188,FOXD3
hsa-miR-502-3p,EMP3
hsa-miR-3156-5p,ILK
hsa-miR-499a-3p,ETV1
hsa-miR-766-3p,PTGER4
hsa-miR-4328,NTRK3
hsa-miR-526b-3p,EPSTI1
hsa-miR-616-3p,IRS1
hsa-miR-6747-5p,DKK2
hsa-miR-4449,CPEB4
hsa-miR-96-5p,POT1
hsa-miR-4780,BCL2L12
hsa-miR-211-5p,ADGRL4
hsa-miR-525-5p,ACSL3
hsa-miR-652-5p,SUSD2
hsa-miR-4649-3p,CA2
hsa-miR-98-3p,PLCB1
hsa-miR-1207-3p,CNTF
hsa-miR-599,PPA1
hsa-miR-299-5p,EPO
hsa-miR-624-3p,ADD3
hsa-miR-4728-5p,CLK3
hsa-miR-326,JUND
hsa-miR-6165,ARHGAP19
hsa-miR-24-2-5p,SLC1A1
hsa-miR-485-3p,AACS
hsa-miR-424-3p,BRPF3
hsa-miR-34b-5p,BCL11B
hsa-miR-214-3p,SDC4
hsa-miR-376a-5p,PRRX1
hsa-miR-4782-3p,TG
hsa-miR-6516-5p,NEO1
hsa-miR-508-3p,SFRP2
hsa-miR-132-5p,DDC
hsa-miR-548c-5p,MID1
hsa-miR-433-3p,HNF4A
hsa-miR-557,LGALS3
hsa-miR-491-3p,SPTAN1
hsa-miR-665,ITSN1
hsa-miR-106b-5p,RNF11
hsa-miR-10a-5p,PLK1
hsa-miR-515-3p,TSHZ3
hsa-miR-663b,WWC1
hsa-miR-138-1-3p,NFATC2IP
hsa-miR-1303,POSTN
hsa-miR-31-3p,KCTD15
hsa-miR-450a-1-3p,NT5C3A
hsa-miR-205-3p,ZNF248
hsa-miR-3163,BIRC7
hsa-miR-149-3p,CYP8B1
hsa-miR-142-5p,ACOX1
hsa-miR-423-5p,FLNA
hsa-miR-134-5p,TCF7L1
hsa-miR-1249-5p,KLHL5
hsa-miR-9-3p,MAPK13
hsa-miR-330-5p,TBPL1
hsa-miR-490-5p,HGS
hsa-miR-632,TUSC7
hsa-miR-30d-3p,MTPN
hsa-miR-664a-3p,CGN
hsa-miR-522-3p,CPT1C
hsa-miR-488-5p,GRIK3
hsa-miR-497-3p,NLRC5
hsa-miR-378g,ALCAM
hsa-miR-3619-5p,NPHS2
hsa-miR-892b,PIEZO1
hsa-miR-2682-5p,TRAF1
hsa-miR-28-3p,CASP8
hsa-miR-205-5p,ATF6
hsa-miR-522-3p,PDGFC
hsa-miR-628-3p,ALCAM
hsa-miR-545-3p,TICAM2
hsa-miR-570-3p,ZFP36
hsa-miR-324-5p,S100PBP
hsa-miR-106a-3p,ESRRG
hsa-miR-124-3p,ARHGAP5
hsa-miR-590-5p,PPM1K
hsa-miR-26b-5p,BASP1
hsa-miR-183-3p,COL15A1
hsa-miR-26b-5p,GFPT2
hsa-miR-3127-3p,PTPN23
hsa-miR-10a-5p,MGST2
hsa-miR-196a-5p,LRRC28
hsa-miR-455-5p,SERPINI1
hsa-miR-196b-3p,EMSY
hsa-miR-622,IL2
hsa-miR-4284,JAK1
hsa-miR-150-3p,DIRAS3
hsa-miR-338-5p,KDM2A
hsa-miR-425-3p,MAT2A
hsa-miR-296-5p,TOX
hsa-miR-650,EPHB4
hsa-miR-345-5p,CX3CL1
hsa-miR-27a-3p,CBLB
hsa-miR-124-3p,CDKN1A
hsa-miR-940,NOVA1
hsa-miR-5195-3p,BECN1
hsa-let-7g-5p,CYP3A4
hsa-miR-197-3p,WBP1L
hsa-miR-766-3p,FLI1
hsa-miR-588,PHLDA1
hsa-let-7e-5p,CCND3
hsa-miR-210-3p,TCF21
hsa-miR-647,ARHGAP19
hsa-miR-4465,TRAF3
hsa-miR-330-3p,PRKCH
hsa-miR-95-3p,PAX9
hsa-miR-182-3p,DACH1
hsa-miR-541-3p,CCL4
hsa-miR-450a-1-3p,TLR3
hsa-miR-550a-5p,CX3CL1
hsa-miR-934,TBXAS1
hsa-miR-1224-3p,TSPAN14
hsa-miR-937-3p,HOXA10
hsa-miR-127-3p,SPAG9
hsa-miR-526b-3p,HCN4
hsa-miR-451a,JAG2
hsa-miR-1181,XBP1
hsa-miR-4660,CD274
hsa-miR-519c-3p,GRIA1
hsa-miR-629-5p,FMR1
hsa-miR-545-3p,RAN
hsa-miR-508-5p,PTK2
hsa-miR-608,HNF4A
hsa-miR-146a-5p,C3orf18
hsa-miR-644a,LEFTY1
hsa-miR-627-5p,SOX7
hsa-miR-485-3p,RECK
hsa-miR-125b-5p,MARF1
hsa-miR-181a-5p,GOLM1
hsa-miR-551b-3p,DAZAP2
hsa-miR-10a-3p,RAB40C
hsa-miR-6515-5p,FGF8
hsa-miR-140-3p,XIAP
hsa-let-7a-3p,NFKBIZ
hsa-miR-7973,MLEC
hsa-miR-92a-1-5p,KIF23
hsa-miR-589-3p,SALL4
hsa-miR-106a-3p,LPAR1
hsa-miR-500a-5p,PLAGL1
hsa-miR-99a-3p,BMPR1B
hsa-miR-1-3p,RCC2
hsa-miR-215-5p,ACVR1
hsa-miR-103a-2-5p,TOX
hsa-miR-633,LRP5
hsa-miR-154-5p,KRCC1
hsa-miR-7-1-3p,MIRLET7D
hsa-miR-7-1-3p,EFNB2
hsa-miR-491-5p,MIXL1
hsa-miR-629-5p,UBASH3B
hsa-miR-518a-5p,MIRLET7D
hsa-miR-181a-3p,TICAM2
hsa-miR-652-3p,NR3C2
hsa-miR-22-5p,CROT
hsa-miR-345-5p,ITGB1
hsa-miR-1470,UBE3A
hsa-miR-512-3p,UTRN
hsa-miR-588,TANK
hsa-miR-937-3p,HTATIP2
hsa-miR-1265,ACTC1
hsa-miR-424-5p,ERBB2
hsa-miR-570-5p,DGUOK
hsa-miR-6887-5p,CCR7
hsa-miR-16-2-3p,PSME3
hsa-miR-34c-3p,LTBR
hsa-miR-133b,NCOA3
hsa-miR-4270,ZEB2
hsa-miR-409-3p,BIRC2
hsa-miR-624-3p,EPN2
hsa-miR-573,MCM10
hsa-miR-3163,RHOBTB3
hsa-miR-27a-5p,CDIP1
hsa-miR-1179,HDAC9
hsa-miR-605-5p,BAG4
hsa-miR-6516-5p,FOXK2
hsa-miR-630,TKT
hsa-miR-711,TFF1
hsa-miR-382-5p,SOCS4
hsa-miR-509-5p,SUSD2
hsa-miR-648,NCOA6
hsa-miR-665,SLC22A7
hsa-miR-218-5p,MAX
hsa-miR-1269a,SH3GL1
hsa-miR-128-3p,GPC1
hsa-miR-495-3p,PTEN
hsa-miR-214-3p,NR0B2
hsa-miR-200a-5p,NNT-AS1
hsa-miR-939-5p,GATA4
hsa-miR-135b-3p,YES1
hsa-miR-1207-5p,UCP2
hsa-miR-590-5p,CPEB2
hsa-miR-3189-3p,SATB2
hsa-miR-142-5p,HOXC-AS3
hsa-miR-548b-3p,ALOX5
hsa-miR-4497,RAD21
hsa-miR-570-3p,KRT1
hsa-miR-1284,PENK
hsa-miR-128-1-5p,CASK
hsa-miR-363-3p,TRIB2
hsa-miR-425-3p,SIX1
hsa-miR-133b,HEY1
hsa-miR-376a-5p,YOD1
hsa-miR-432-5p,EMX1
hsa-miR-572,ABCB1
hsa-miR-617,TRPC3
hsa-miR-1250-5p,ILF2
hsa-miR-329-5p,DVL1
hsa-miR-100-5p,TRIM2
hsa-miR-4262,DHX40
hsa-miR-429,MAP3K1
hsa-miR-1180-5p,RAVER2
hsa-miR-216a-5p,ATG10
hsa-miR-532-3p,NOS2
hsa-miR-942-3p,SNAP25
hsa-miR-3922-5p,E2F7
hsa-miR-520d-5p,PRAP1
hsa-miR-526b-3p,SFRP1
hsa-miR-4497,PTPRO
hsa-miR-301a-3p,KMT5A
hsa-miR-569,PENK
hsa-miR-188-5p,PINK1
hsa-miR-6855-3p,GLS2
hsa-miR-16-5p,NUMB
hsa-miR-27b-5p,ARID4B
hsa-miR-1260b,CDC25B
hsa-miR-490-3p,RNF2
hsa-miR-885-5p,LINC02582
hsa-miR-587,MAPK10
hsa-miR-548a-3p,RBX1
hsa-miR-33a-5p,GOLM1
hsa-miR-490-3p,CUL4A
hsa-miR-106b-5p,PARD6A
hsa-miR-181a-3p,QKI
hsa-miR-628-3p,AMOT
hsa-miR-526b-5p,OGDHL
hsa-miR-519d-3p,RRAS
hsa-miR-204-3p,TAX1BP1
hsa-miR-146a-3p,SWAP70
hsa-miR-1182,FAM3C
hsa-miR-548a-5p,EHHADH
hsa-let-7e-3p,VAV2
hsa-miR-1914-3p,AACS
hsa-miR-379-5p,BAG4
hsa-miR-760,ATP2A2
hsa-miR-548d-3p,DUXAP8
hsa-miR-1257,ZIC3
hsa-miR-9-5p,MINPP1
hsa-miR-7-1-3p,SPIN1
hsa-miR-3188,HNRNPD
hsa-miR-377-3p,COL24A1
hsa-miR-574-5p,AP3B1
hsa-miR-223-3p,TNFAIP3
hsa-miR-6165,HMGN2
hsa-miR-616-3p,VEZT
hsa-miR-491-3p,CKS2
hsa-miR-15b-5p,CASP7
hsa-miR-186-3p,LINC01448
hsa-miR-132-5p,MAP2K3
hsa-miR-1179,NRGN
hsa-miR-134-3p,F11R
hsa-miR-25-3p,FBXO31
hsa-miR-675-5p,YY1AP1
hsa-miR-212-5p,TGFBR1
hsa-miR-509-3-5p,PCDH10
hsa-miR-3180-5p,ZFPM2-AS1
hsa-miR-324-5p,PLD1
hsa-miR-3941,UBE2Q1
hsa-miR-1247-5p,IKBKB
hsa-miR-200c-3p,RRAS2
hsa-miR-3686,CAPNS1
hsa-miR-29a-3p,YBX1
hsa-miR-3127-5p,BTK
hsa-miR-1247-5p,MAPK11
hsa-miR-605-3p,ACE2
hsa-miR-591,NPAS4
hsa-miR-483-5p,MRC1
hsa-miR-26a-5p,MED1
hsa-miR-331-3p,ZBTB4
hsa-miR-148a-5p,SIRT6
hsa-miR-636,SNHG8
hsa-miR-210-3p,BMX
hsa-miR-589-3p,GREM1
hsa-miR-584-3p,SFRP2
hsa-miR-1343-3p,TIGAR
hsa-miR-144-5p,MID1
hsa-miR-891a-5p,GRM3
hsa-miR-30d-5p,CYB5A
hsa-miR-522-3p,ETV5
hsa-miR-762,JAZF1
hsa-miR-4721,TGFA
hsa-miR-518a-3p,PIK3R3
hsa-miR-3941,NECTIN1
hsa-miR-578,NR3C2
hsa-miR-27a-5p,MAP3K14
hsa-miR-7-1-3p,CRKL
hsa-miR-451b,YBX1
hsa-miR-595,CCNG2
hsa-miR-421,DLL1
hsa-miR-32-5p,CARMN
hsa-miR-125a-5p,MASTL
hsa-miR-30c-5p,PPM1K
hsa-miR-4793-3p,LEF1-AS1
hsa-miR-652-3p,RTEL1
hsa-miR-1248,LDOC1
hsa-miR-218-5p,MYBL2
hsa-miR-934,EHD2
hsa-miR-624-3p,CBLL1
hsa-miR-541-5p,TRAF5
hsa-miR-1305,SNHG6
hsa-miR-149-5p,TRIM32
hsa-miR-1265,IL11
hsa-miR-95-5p,GCSAM
hsa-miR-1252-3p,NKX2-1
hsa-miR-93-3p,DYRK1B
hsa-miR-1283,NR5A2
hsa-miR-4270,ITGA5
hsa-miR-369-3p,HDAC5
hsa-miR-365a-3p,AHRR
hsa-miR-552-3p,NRF1
hsa-miR-569,HAS2
hsa-miR-425-5p,ILF3
hsa-miR-3163,CCL1
hsa-miR-6516-5p,CTBP2
hsa-miR-1285-3p,SRGAP2
hsa-miR-122-3p,RSPO2
hsa-miR-298,TNFSF10
hsa-miR-876-3p,UCP1
hsa-miR-1283,TMEM54
hsa-miR-644a,KSR1
hsa-miR-4428,MAPK9
hsa-miR-378a-3p,CD24
hsa-miR-544a,TP73
hsa-miR-346,PSIP1
hsa-miR-369-3p,PEBP1
hsa-miR-610,MSH6
hsa-miR-4317,DAPK1
hsa-miR-539-5p,IGBP1
hsa-miR-770-5p,MAN1B1
hsa-miR-208b-3p,VIM-AS1
hsa-miR-544a,PCDH15
hsa-miR-572,LBX2-AS1
hsa-miR-362-5p,EDN1
hsa-miR-516b-5p,LAMC2
hsa-miR-6855-3p,ATG4C
hsa-miR-592,FGF2
hsa-miR-4756-5p,UBE3C
hsa-miR-3613-3p,JCHAIN
hsa-miR-939-5p,UBAC2
hsa-miR-33a-5p,SIRT3
hsa-miR-202-3p,KHDRBS1
hsa-miR-675-5p,FGG
hsa-miR-503-5p,PDCD2
hsa-miR-139-3p,SYNE1
hsa-miR-496,RPS6KA3
hsa-miR-1178-3p,SLC6A4
hsa-miR-9-3p,MYH10
hsa-miR-218-1-3p,ALDOA
hsa-miR-202-3p,SIPA1L1
hsa-miR-493-5p,PGM2
hsa-miR-583,EPHA4
hsa-miR-378b,SRF
hsa-miR-873-5p,ALDH1A3
hsa-miR-497-3p,TICAM2
hsa-miR-3127-3p,DLG5
hsa-miR-2355-3p,ARFGEF1
hsa-miR-519c-3p,FOXM1
hsa-miR-590-5p,PRKAA2
hsa-miR-650,HMGN5
hsa-miR-650,EIF4A2
hsa-miR-153-5p,SIRPA
hsa-miR-376a-3p,MYT1
hsa-miR-181a-3p,CEBPD
hsa-miR-557,PRDX1
hsa-miR-1236-3p,RAB15
hsa-miR-541-3p,ANXA11
hsa-miR-6884-5p,DSCR8
hsa-miR-556-5p,GPER1
hsa-miR-150-3p,HGS
hsa-miR-3180-5p,BGLAP
hsa-miR-183-5p,FASLG
hsa-miR-499a-3p,POU3F2
hsa-miR-297,INSIG1
hsa-miR-582-5p,POLD1
hsa-miR-544a,ID4
hsa-miR-301a-5p,KLHL11
hsa-miR-92a-1-5p,FSTL1
hsa-miR-601,ASAP1-IT1
hsa-miR-519e-3p,GREM2
hsa-miR-524-5p,OTX2
hsa-miR-644a,BTG1
hsa-miR-378a-3p,SNAP23
hsa-miR-132-3p,SLCO1B3
hsa-miR-25-5p,ECM1
hsa-miR-5787,GSTP1
hsa-let-7f-5p,ITGA3
hsa-miR-3189-3p,ATG14
hsa-miR-6875-5p,EIF3A
hsa-miR-297,SKI
hsa-miR-216a-3p,DTL
hsa-miR-340-5p,USP22
hsa-miR-508-3p,MARCKSL1
hsa-miR-4775,CHI3L1
hsa-miR-20b-3p,ELF5
hsa-miR-1228-3p,MTHFR
hsa-miR-215-3p,TBX21
hsa-miR-302c-5p,TYMS
hsa-miR-1183,SREBF1
hsa-miR-92a-3p,TSPAN6
hsa-miR-330-5p,MMP19
hsa-miR-517a-3p,SMARCA5
hsa-miR-31-5p,ADAMTS4
hsa-miR-1181,CD28
hsa-miR-922,HOXD10
hsa-miR-188-5p,IRAK4
hsa-miR-575,PPM1E
hsa-miR-6165,EPAS1
hsa-miR-574-3p,ESD
hsa-miR-30d-5p,AXL
hsa-miR-1468-3p,UBTD2
hsa-miR-205-3p,CASP8AP2
hsa-miR-605-3p,PPP2CB
hsa-miR-216b-5p,BCL2L10
hsa-miR-24-1-5p,EPO
hsa-miR-558,SNHG6
hsa-miR-433-3p,FN1
hsa-miR-504-5p,C1QTNF9
hsa-miR-3940-5p,SET
hsa-miR-449b-5p,AXIN2
hsa-miR-29a-3p,BAP1
hsa-miR-922,FOS
hsa-miR-670-5p,RFXAP
hsa-miR-610,GABARAPL1
hsa-miR-130a-5p,KCNQ5
hsa-miR-4270,PTPRF
hsa-miR-548a-3p,ELF2
hsa-miR-208a-3p,CARD11
hsa-miR-1281,HIP1R
hsa-miR-34c-5p,CKS2
hsa-miR-384,VPS4B
hsa-miR-486-3p,ACVR1
hsa-miR-367-3p,FGF5
hsa-miR-147a,SLC27A1
hsa-miR-1266-5p,NTN4
hsa-miR-200b-5p,CASP8
hsa-miR-138-5p,SLCO1B3
hsa-miR-181b-3p,COMMD1
hsa-miR-4500,LOX
hsa-miR-140-5p,CEP41
hsa-miR-30e-5p,RAB27B
hsa-miR-921,BMP4
hsa-miR-143-3p,PTX3
hsa-miR-593-5p,PTPN13
hsa-miR-502-3p,RPS6KA1
hsa-miR-7-5p,PPP1R1A
hsa-miR-134-5p,CD4
hsa-miR-6516-5p,HOXA-AS2
hsa-miR-187-3p,XPA
hsa-miR-181c-5p,ERCC2
hsa-miR-4465,COL24A1
hsa-miR-891a-5p,HOXA10
hsa-miR-99a-3p,ABCG4
hsa-miR-181a-3p,JUNB
hsa-miR-483-3p,TKT
hsa-miR-494-5p,CCAT1
hsa-miR-342-5p,RAB5C
hsa-miR-208b-3p,M6PR
hsa-miR-223-5p,ANO1
hsa-miR-425-5p,TMED7
hsa-miR-298,HTR2C
hsa-miR-509-3p,REV1
hsa-miR-98-3p,TRPM3
hsa-miR-216a-3p,SMAD6
hsa-miR-4260,EMX2
hsa-miR-148b-5p,PRKRA
hsa-miR-193a-5p,RAB13
hsa-miR-876-5p,STAP1
hsa-miR-3064-5p,POLR3G
hsa-miR-301a-3p,USP26
hsa-miR-3162-3p,UBE2Q1
hsa-miR-4715-3p,SMARCA2
hsa-miR-140-5p,ADIPOR2
hsa-miR-3127-3p,CDKN2B
hsa-miR-1224-5p,FGF7
hsa-miR-1291,NCSTN
hsa-miR-363-5p,RAB23
hsa-miR-1303,POLE3
hsa-miR-654-3p,JMY
hsa-miR-20a-5p,OGDHL
hsa-miR-371a-3p,TINCR
hsa-miR-543,TXN2
hsa-miR-130a-3p,RAI14
hsa-miR-103a-3p,NGF
hsa-miR-300,APH1A
hsa-miR-192-5p,TET1
hsa-miR-381-3p,XPA
hsa-miR-410-5p,KCNE1
hsa-miR-376a-3p,ISCU
hsa-miR-4458,S1PR3
hsa-miR-590-3p,GPR39
hsa-miR-3162-3p,FGF2
hsa-miR-513a-3p,YES1
hsa-miR-4717-5p,EZR
hsa-miR-98-5p,RAB32
hsa-miR-22-3p,ST3GAL6
hsa-miR-518a-5p,RFX6
hsa-miR-20a-5p,LIF
hsa-miR-515-3p,NGFR
hsa-miR-522-5p,PTBP1
hsa-miR-875-5p,ITGB3
hsa-miR-143-5p,CTBP1
hsa-miR-182-5p,ZHX1
hsa-miR-1290,CNR2
hsa-miR-4437,GNAI3
hsa-miR-370-3p,TET1
hsa-miR-129-1-3p,IFNG
hsa-miR-133b,ZBTB4
hsa-miR-200b-3p,APLN
hsa-miR-16-2-3p,FUT8
hsa-miR-15b-3p,NOD1
hsa-miR-101-5p,TNFSF13
hsa-miR-3928-3p,TBL1X
hsa-miR-885-3p,EI24
hsa-miR-601,COL3A1
hsa-miR-34c-3p,DAAM2
hsa-miR-181b-3p,BDNF
hsa-miR-196a-3p,RAB12
hsa-miR-324-5p,NFKB2
hsa-miR-491-3p,GPR78
hsa-miR-527,FAM91A1
hsa-miR-4653-3p,ALDOA
hsa-miR-633,POU4F2
hsa-miR-135a-3p,CNTFR
hsa-miR-875-5p,TBC1D14
hsa-miR-501-5p,DTD1
hsa-miR-3613-3p,CEP83
hsa-miR-4465,FNDC3B
hsa-miR-647,AGO4
hsa-miR-558,YWHAG
hsa-miR-575,TIAM1
hsa-miR-3156-5p,ID1
hsa-miR-135a-3p,NR4A1
hsa-miR-506-5p,POU3F2
hsa-let-7c-5p,ATP8A2
hsa-miR-324-3p,CCL22
hsa-miR-133b,ZNF350
hsa-miR-383-5p,FMN2
hsa-miR-6884-5p,SDCBP
hsa-miR-1285-3p,CUL5
hsa-miR-29c-5p,NFKBIA
hsa-miR-203a-3p,FZD7
hsa-miR-583,WNT6
hsa-miR-150-3p,PLA2G4B
hsa-miR-642a-5p,TNFRSF10B
hsa-miR-656-3p,LSP1
hsa-miR-544a,PUM2
hsa-miR-323b-5p,TRIB2
hsa-miR-181c-5p,SUFU
hsa-miR-525-5p,PAX6
hsa-miR-302a-3p,MAPK14
hsa-miR-122-3p,MAGEA6
hsa-miR-1224-3p,MAT2A
hsa-miR-552-5p,PCDH10
hsa-miR-605-5p,ACSL4
hsa-miR-106a-3p,BASP1
hsa-miR-1249-5p,USP18
hsa-miR-570-3p,ITSN1
hsa-miR-1185-2-3p,TNFSF11
hsa-miR-125b-1-3p,CHD4
hsa-miR-942-5p,HEY1
hsa-miR-34a-5p,HIPK1
hsa-miR-1307-5p,BATF2
hsa-miR-212-5p,IKZF2
hsa-miR-4793-3p,BCL2L11
hsa-miR-624-3p,FBP1
hsa-miR-4715-3p,CYP2C8
hsa-miR-892b,DDB2
hsa-miR-18a-5p,PLPP3
hsa-miR-148b-3p,SMAD6
hsa-miR-127-5p,NLRP3
hsa-miR-4271,MIEN1
hsa-miR-516b-5p,MET
hsa-miR-525-3p,CDIP1
hsa-miR-15b-5p,NRN1
hsa-miR-518a-3p,HDAC8
hsa-miR-520d-3p,JUND
hsa-miR-4793-3p,PTPRM
hsa-miR-485-3p,DOCK7
hsa-miR-144-3p,TNFSF10
hsa-miR-30a-3p,HMX1
hsa-miR-548c-3p,CD1C
hsa-miR-483-3p,FLOT2
hsa-miR-892a,WNT1
hsa-miR-937-5p,MTFP1
hsa-miR-572,PDHA1
hsa-miR-1289,CUL5
hsa-miR-378g,USP28
hsa-miR-30d-5p,STAT4
hsa-miR-671-5p,ARC
hsa-miR-7515,CREB5
hsa-miR-1179,USP46
hsa-miR-1258,PCNA
hsa-miR-3691-5p,ITGAV
hsa-miR-1285-3p,SPI1
hsa-miR-892a,UCP2
hsa-miR-744-3p,ADAMTS6
hsa-miR-335-3p,DDX6
